O01971	Caenorhabditis elegans	Metazoa	166	False	1
Q9SZ15	Arabidopsis thaliana	Viridiplantae	421	False	1
P38737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1868	False	1
Q8VIM4	Mus musculus	Metazoa	307	True	1
Q9BZE9	Homo sapiens	Metazoa	553	False	1
Q9U405	Drosophila melanogaster	Metazoa	570	False	1
Q5XVF0	Arabidopsis thaliana	Viridiplantae	666	False	1
Q9NWS8	Homo sapiens	Metazoa	449	False	1
P25584	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	144	True	1
O15014	Homo sapiens	Metazoa	1411	False	1
Q9JIQ3	Mus musculus	Metazoa	237	False	1
Q9SQI2	Arabidopsis thaliana	Viridiplantae	1173	False	1
P53127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1403	False	1
O13351	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117	False	1
P53838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576	True	1
O96626	Dictyostelium discoideum	Other	138	False	1
Q8GTR4	Arabidopsis thaliana	Viridiplantae	965	False	1
Q6IQ49	Homo sapiens	Metazoa	451	False	1
Q9VM92	Drosophila melanogaster	Metazoa	756	False	1
O94761	Homo sapiens	Metazoa	1208	False	1
Q9D563	Mus musculus	Metazoa	222	True	1
Q8SUF9	Encephalitozoon cuniculi (strain GB-M1)	Fungi	553	True	1
P0C2X8	Xenopus laevis	Metazoa	363	False	1
Q10331	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	794	False	1
P32914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	102	False	1
Q1ENB6	Arabidopsis thaliana	Viridiplantae	484	False	1
Q99LC3	Mus musculus	Metazoa	355	False	1
P22516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	861	False	1
Q9BWU0	Homo sapiens	Metazoa	742	False	1
O08773	Rattus norvegicus	Metazoa	544	False	1
Q581T1	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	2167	False	1
Q9M903	Arabidopsis thaliana	Viridiplantae	479	False	1
O75004	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	501	False	1
P20084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	86	False	1
A2A5K6	Mus musculus	Metazoa	1337	False	1
O55028	Mus musculus	Metazoa	412	False	1
Q9DB00	Mus musculus	Metazoa	2260	False	1
A6NGQ2	Homo sapiens	Metazoa	149	False	1
Q7TNS8	Mus musculus	Metazoa	369	False	1
Q04867	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	317	False	1
P25705	Homo sapiens	Metazoa	553	False	1
Q54HS3	Dictyostelium discoideum	Other	1486	False	1
Q5VT06	Homo sapiens	Metazoa	3117	False	1
Q99L90	Mus musculus	Metazoa	462	False	1
P70399	Mus musculus	Metazoa	1969	False	1
Q9LSC4	Arabidopsis thaliana	Viridiplantae	344	False	1
Q708Y0	Arabidopsis thaliana	Viridiplantae	623	False	1
P47084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519	False	1
P11596	Drosophila melanogaster	Metazoa	197	False	1
Q9Y3C5	Homo sapiens	Metazoa	154	False	1
Q5KMX8	Cryptococcus deneoformans (strain JEC21 / ATCC MYA-565)	Fungi	783	False	1
Q12774	Homo sapiens	Metazoa	1597	False	1
Q10154	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240	False	1
P42841	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465	False	1
Q9H869	Homo sapiens	Metazoa	796	False	1
