P20507	Chlamydomonas reinhardtii	Viridiplantae	377	20	1
P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1286	15	1
Q8WML4	Bos taurus	Metazoa	580	22	1
P48819	Sus scrofa	Metazoa	459	19	1
P11911	Mus musculus	Metazoa	220	28	1
P79208	Ovis aries	Metazoa	603	16	1
O64411	Zea mays	Viridiplantae	500	28	1
P18417	Catharanthus roseus	Viridiplantae	352	31	1
Q96AP7	Homo sapiens	Metazoa	390	29	1
P61916	Homo sapiens	Metazoa	151	19	1
P19400	Ascaris suum	Metazoa	169	20	1
P30438	Felis catus	Metazoa	92	22	1
Q8NC67	Homo sapiens	Metazoa	525	22	1
P02810	Homo sapiens	Metazoa	166	16	1
Q43871	Hordeum vulgare	Viridiplantae	115	25	1
P08541	Rattus norvegicus	Metazoa	530	23	1
P02783	Rattus norvegicus	Metazoa	112	21	1
O15455	Homo sapiens	Metazoa	904	23	1
P67861	Daboia russelii	Metazoa	144	24	1
O88917	Rattus norvegicus	Metazoa	1515	24	1
Q27441	Aplysia californica	Metazoa	92	21	1
Q13007	Homo sapiens	Metazoa	206	51	1
Q9MYV1	Canis lupus familiaris	Metazoa	128	25	1
P31025	Homo sapiens	Metazoa	176	18	1
O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32	1
Q9NBW4	Theromyzon tessulatum	Metazoa	101	19	1
P23389	Bos taurus	Metazoa	646	20	1
Q8NBI3	Homo sapiens	Metazoa	349	25	1
P04844	Homo sapiens	Metazoa	631	22	1
P81511	Hirudo medicinalis	Metazoa	81	15	1
P02765	Homo sapiens	Metazoa	367	18	1
Q95NY5	Anopheles stephensi	Metazoa	315	18	1
P0C8G6	Pomacea canaliculata	Metazoa	565	26	1
P25068	Bos taurus	Metazoa	64	26	1
P23631	Latrodectus tredecimguttatus	Metazoa	1401	20	1
P02780	Rattus norvegicus	Metazoa	95	18	1
Q9GQV7	Aedes aegypti	Metazoa	128	22	1
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23	1
Q8NBL1	Homo sapiens	Metazoa	392	23	1
Q9ERQ6	Rattus norvegicus	Metazoa	571	30	1
F1RRV3	Sus scrofa	Metazoa	2692	19	1
P19425	Aedes aegypti	Metazoa	97	19	1
